,County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,geometry,index_right,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,NAMELSAD,STUSPS,NAMELSADCO,STATE_NAME,LSAD,ALAND,AWATER
87,ERIE,745205,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21543,1107,SHERIDAN DR,,,TONAWANDA,NY,14150,8000,POINT (182532.2091819514 4765988.791731481),3587,36,029,008400,1400000US36029008400,36029008400,84,Census Tract 84,NY,Erie County,New York,CT,10966624,3505091
88,CAYUGA,745204,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21994,293,CAYUGA ST,,,UNION SPRINGS,NY,13160,0,POINT (361757.7323427744 4746241.953769773),3822,36,011,041201,1400000US36011041201,36011041201,412.01,Census Tract 412.01,NY,Cayuga County,New York,CT,55451292,14039021
89,ALLEGANY,745203,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21722,135,E MAIN ST,,,ANGELICA,NY,14709,0,POINT (251976.8585213459 4687911.128861144),3754,36,003,951302,1400000US36003951302,36003951302,9513.02,Census Tract 9513.02,NY,Allegany County,New York,CT,232217343,592326
90,WASHINGTON,745202,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21459,2033,CTY RD 23,,,GRANVILLE,NY,12832,0,POINT (638114.2291442808 4810110.457375465),4544,36,115,084002,1400000US36115084002,36115084002,840.02,Census Tract 840.02,NY,Washington County,New York,CT,67246353,594659
91,CHAUTAUQUA,745198,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21766,226,WINSOR ST,,,JAMESTOWN,NY,14701,9160,POINT (150224.62505293 4669498.64060727),1288,36,013,030100,1400000US36013030100,36013030100,301,Census Tract 301,NY,Chautauqua County,New York,CT,3097416,0
92,TOMPKINS,745194,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22567,178,MAIN ST,,,GROTON,NY,13073,0,POINT (387780.3961582784 4716015.169150403),3325,36,109,002200,1400000US36109002200,36109002200,22,Census Tract 22,NY,Tompkins County,New York,CT,79314153,207523
93,OTSEGO,745192,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21671,1735,ST HWY 205,,,LAURENS,NY,13796,0,POINT (493911.6395202462 4709740.400098595),929,36,077,591402,1400000US36077591402,36077591402,5914.02,Census Tract 5914.02,NY,Otsego County,New York,CT,108906709,307363
94,TOMPKINS,745190,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21094,1408,DRYDEN RD,,,FREEVILLE,NY,13068,0,POINT (384756.4255332952 4703088.489160398),3323,36,109,001400,1400000US36109001400,36109001400,14,Census Tract 14,NY,Tompkins County,New York,CT,53043055,352958
95,BROOME,745189,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #20396,1749,NY STREET RTE 12,,,BINGHAMTON,NY,13901,9160,POINT (427688.0530682097 4671668.656840451),4215,36,007,012101,1400000US36007012101,36007012101,121.01,Census Tract 121.01,NY,Broome County,New York,CT,33009093,461827
96,ORANGE,745164,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21504,1650,RTE 211,,,OTISVILLE,NY,10963,0,POINT (539765.3028226963 4591033.903197011),764,36,071,011500,1400000US36071011500,36071011500,115,Census Tract 115,NY,Orange County,New York,CT,65096340,937239
97,OSWEGO,745163,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21707,4296,STATE ROUTE 104,,,MEXICO,NY,13114,9160,POINT (393334.4486631695 4814954.122735749),3478,36,075,021501,1400000US36075021501,36075021501,215.01,Census Tract 215.01,NY,Oswego County,New York,CT,80544758,5995613
98,SCHUYLER,745162,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21908,365,COUNTY RD 23,,,DUNDEE,NY,14837,4000,POINT (328609.9289367801 4698856.324339417),13,36,097,950300,1400000US36097950300,36097950300,9503,Census Tract 9503,NY,Schuyler County,New York,CT,236633986,7035659
99,ONEIDA,745160,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21145,9127,TURIN RD,,,ROME,NY,13440,9160,POINT (461602.3845079726 4794514.634650297),723,36,065,024301,1400000US36065024301,36065024301,243.01,Census Tract 243.01,NY,Oneida County,New York,CT,9204331,1051131
100,CHENANGO,745159,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21789,6286,STATE HWY 23,,,SOUTH NEW BERLIN,NY,13843,0,POINT (467974.7567472564 4708848.377520142),3791,36,017,970502,1400000US36017970502,36017970502,9705.02,Census Tract 9705.02,NY,Chenango County,New York,CT,155128559,1162067
101,OSWEGO,745121,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21343,1668,RT 45,,,FULTON,NY,13069,9100,POINT (396069.7325481467 4802143.090705879),2355,36,075,020800,1400000US36075020800,36075020800,208,Census Tract 208,NY,Oswego County,New York,CT,104800828,722284
102,RENSSELAER,744482,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21200,324,NY RTE 43,,,STEPHENTOWN,NY,12168,4000,POINT (634030.218816063 4711913.227489875),637,36,083,052603,1400000US36083052603,36083052603,526.03,Census Tract 526.03,NY,Rensselaer County,New York,CT,149931221,508218
103,OSWEGO,744479,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21401,2340,STATE RTE 13,,,ALTMAR,NY,13302,9346,POINT (418593.7732322324 4818094.212111365),3719,36,075,020501,1400000US36075020501,36075020501,205.01,Census Tract 205.01,NY,Oswego County,New York,CT,101634390,904462
104,ONONDAGA,744235,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #22429,7386,OSWEGO RD,,,LIVERPOOL,NY,13090,0,POINT (400905.9828616854 4775834.745444992),2390,36,067,011102,1400000US36067011102,36067011102,111.02,Census Tract 111.02,NY,Onondaga County,New York,CT,7940947,0
105,SENECA,744234,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #20950,8453,MAIN ST,,,INTERLAKEN,NY,14847,0,POINT (358604.8217410506 4719451.44976301),2680,36,099,951000,1400000US36099951000,36099951000,9510,Census Tract 9510,NY,Seneca County,New York,CT,81287547,16045715
106,ERIE,744233,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21270,3230,WALDEN AVE,,,DEPEW,NY,14043,0,POINT (197938.8835350194 4757653.044572274),4868,36,029,009702,1400000US36029009702,36029009702,97.02,Census Tract 97.02,NY,Erie County,New York,CT,2548107,0
107,FULTON,744230,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #20951,3237,RTE 29A,,,CAROGA LAKE,NY,12032,0,POINT (542262.6272350597 4776220.599428198),2267,36,035,970400,1400000US36035970400,36035970400,9704,Census Tract 9704,NY,Fulton County,New York,CT,279079227,15372598
108,CORTLAND,744229,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21716,2717,ROUTE 26,,,CINCINNATUS,NY,13040,9100,POINT (425831.05562716 4709937.724710579),3311,36,023,971100,1400000US36023971100,36023971100,9711,Census Tract 9711,NY,Cortland County,New York,CT,262915283,1878767
109,NIAGARA,744228,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #20328,5970,E LAKE RD,,,OLCOTT,NY,14126,7542,POINT (198986.8071655059 4804752.248030244),4392,36,063,024202,1400000US36063024202,36063024202,242.02,Census Tract 242.02,NY,Niagara County,New York,CT,59612748,4292154
110,SCHENECTADY,744226,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21982,1936,VAN VRANKEN AVE,,,SCHENECTADY,NY,12308,0,POINT (588173.6497758434 4742256.739913474),3370,36,093,020200,1400000US36093020200,36093020200,202,Census Tract 202,NY,Schenectady County,New York,CT,1821139,226176
111,SUFFOLK,744191,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 21988,3395,GREAT NECK RD,,,AMITYVILLE,NY,11701,5000,POINT (634284.2297178665 4506492.659263694),1379,36,103,123304,1400000US36103123304,36103123304,1233.04,Census Tract 1233.04,NY,Suffolk County,New York,CT,1396845,0
112,CORTLAND,744043,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 21374,5795,ROUTE 13,,,CUYLER,NY,13158,0,POINT (426928.5057721961 4734091.136763002),2326,36,023,970100,1400000US36023970100,36023970100,9701,Census Tract 9701,NY,Cortland County,New York,CT,382730819,799861
113,MONTGOMERY,742191,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #8623,174,W GRAND ST,,,PALATINE BRIDGE,NY,13428,0,POINT (533988.4371149228 4751364.409863372),249,36,057,072300,1400000US36057072300,36057072300,723,Census Tract 723,NY,Montgomery County,New York,CT,106373634,1630284
114,SULLIVAN,742029,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #20891,3357,STATE RT 52,,,WHITE SULPHER SPRING,NY,12787,9346,POINT (514018.4135514173 4627510.420699215),3467,36,105,950600,1400000US36105950600,36105950600,9506,Census Tract 9506,NY,Sullivan County,New York,CT,78608932,1521026
115,CHEMUNG,741440,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #20645,113,OLD ITHICA RD,,,HORSEHEADS,NY,14845,0,POINT (349851.1020265848 4670824.376956509),5021,36,015,010702,1400000US36015010702,36015010702,107.02,Census Tract 107.02,NY,Chemung County,New York,CT,59149965,625891
116,CLINTON,741149,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #19573,2593,STATE ROUTE 11,,,MOOERS,NY,12958,0,POINT (610606.4862679369 4979422.230842595),4717,36,019,104200,1400000US36019104200,36019104200,1042,Census Tract 1042,NY,Clinton County,New York,CT,415743321,1797656
117,ONEIDA,741148,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #20688,5354,STATE ROUTE 233,,,WESTMORELAND,NY,13490,0,POINT (466997.304542742 4774412.599318658),4515,36,065,023000,1400000US36065023000,36065023000,230,Census Tract 230,NY,Oneida County,New York,CT,111720718,38347
118,WASHINGTON,740970,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #20719,290,BROADWAY,,,FORT EDWARD,NY,12828,0,POINT (614737.475556805 4792799.017822828),2593,36,115,088001,1400000US36115088001,36115088001,880.01,Census Tract 880.01,NY,Washington County,New York,CT,4769592,3053
119,SULLIVAN,740749,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #20156,882,BLOOMBURG RD,,,BLOOMINGBURG,NY,12721,8300,POINT (547899.7302444873 4602276.767525389),4469,36,105,951202,1400000US36105951202,36105951202,9512.02,Census Tract 9512.02,NY,Sullivan County,New York,CT,21257929,18955
120,MADISON,740748,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #20391,5114,BEAR PATH RD,,,MUNNSVILLE,NY,13409,0,POINT (452175.9095721637 4757619.422514667),3755,36,053,030601,1400000US36053030601,36053030601,306.01,Census Tract 306.01,NY,Madison County,New York,CT,144955591,222349
121,TIOGA,740747,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #6172,91,W TIOGA ST,,,SPENCER,NY,14883,0,POINT (376202.1016246061 4673994.043264997),1331,36,107,020701,1400000US36107020701,36107020701,207.01,Census Tract 207.01,NY,Tioga County,New York,CT,127206992,822423
122,ONTARIO,740602,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #20442,9212,ROUTE 5 & 20,,,W BLOOMFIELD,NY,14469,0,POINT (291946.6332585586 4753648.903024146),2545,36,069,050502,1400000US36069050502,36069050502,505.02,Census Tract 505.02,NY,Ontario County,New York,CT,65944134,101008
123,NIAGARA,740535,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19988,3622,HYDE PARK BLVD,,,NIAGARA FALLS,NY,14305,6000,POINT (171616.7025712827 4782146.806694745),1711,36,063,020200,1400000US36063020200,36063020200,202,Census Tract 202,NY,Niagara County,New York,CT,2279766,0
124,ERIE,740534,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19760,11184,BIG TREE RD,,,EAST AURORA,NY,14052,9200,POINT (207935.3681032288 4741217.932513289),2692,36,029,015002,1400000US36029015002,36029015002,150.02,Census Tract 150.02,NY,Erie County,New York,CT,92169877,130985
125,ONEIDA,740533,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #20510,10372,PRITCHARD RD,,,REMSEN,NY,13438,9750,POINT (483685.0252991605 4798308.055129549),4310,36,065,024102,1400000US36065024102,36065024102,241.02,Census Tract 241.02,NY,Oneida County,New York,CT,202338572,3968996
126,CHEMUNG,740439,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #20329,1817,PENNSYLVANIA AVE,,,PINE CITY,NY,14871,0,POINT (342870.388720756 4652093.935234277),3868,36,015,011200,1400000US36015011200,36015011200,112,Census Tract 112,NY,Chemung County,New York,CT,140600139,1482813
127,ERIE,740375,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #20621,6889,ERIE ROAD,,,DERBY,NY,14047,3000,POINT (173660.2597998976 4735101.801001201),2714,36,029,015402,1400000US36029015402,36029015402,154.02,Census Tract 154.02,NY,Erie County,New York,CT,48235701,2600455
128,JEFFERSON,740226,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19591,43450,STATE RT 12,,,ALEXANDRIA BAY,NY,13607,9160,POINT (422952.0191613719 4905356.086933441),4934,36,045,060101,1400000US36045060101,36045060101,601.01,Census Tract 601.01,NY,Jefferson County,New York,CT,159324050,13272533
129,OTSEGO,740186,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #20258,6373,ST HWY 7,,,MARYLAND,NY,12116,9200,POINT (502830.8814733391 4704529.301148765),4296,36,077,590500,1400000US36077590500,36077590500,5905,Census Tract 5905,NY,Otsego County,New York,CT,119453209,2665718
130,CHAUTAUQUA,739928,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #17957,3032,ROUTE 430,,,BEMUS POINT,NY,14712,7520,POINT (143803.8899151353 4672509.720500299),3546,36,013,036902,1400000US36013036902,36013036902,369.02,Census Tract 369.02,NY,Chautauqua County,New York,CT,47304779,19388135
131,ST. LAWRENCE,739764,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19569,1809,STATE HWY 345,,,MADRID,NY,13660,0,POINT (489960.7562809353 4954538.072775502),4513,36,089,490500,1400000US36089490500,36089490500,4905,Census Tract 4905,NY,St. Lawrence County,New York,CT,270885766,18038515
132,JEFFERSON,739761,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19585,2137,S JAMES ST,,,CAPE VINCENT,NY,13618,9200,POINT (393762.1641799642 4885857.180205934),2498,36,045,060301,1400000US36045060301,36045060301,603.01,Census Tract 603.01,NY,Jefferson County,New York,CT,117505181,6269382
133,ALLEGANY,739757,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #20432,7259,COUNTY RD 20,,,FRIENDSHIP,NY,14739,0,POINT (240168.4429244351 4677024.390921349),1800,36,003,950500,1400000US36003950500,36003950500,9505,Census Tract 9505,NY,Allegany County,New York,CT,131390323,1929125
134,ONONDAGA,739443,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21162,4975,BEAR RD,,,LIVERPOOL,NY,13088,10100,POINT (404696.4678892913 4776672.82508772),3675,36,067,011012,1400000US36067011012,36067011012,110.12,Census Tract 110.12,NY,Onondaga County,New York,CT,1965787,0
135,ALLEGANY,739282,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #20345,46,E CHESTNUT ST,,,ANDOVER,NY,14806,7500,POINT (269363.7888708712 4670713.870734551),4789,36,003,950900,1400000US36003950900,36003950900,9509,Census Tract 9509,NY,Allegany County,New York,CT,205684907,313724
136,STEUBEN,739169,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #19743,19,N DANSVILLE STREET,,,COHOCTON,NY,14826,2500,POINT (293836.5424653324 4708953.326861376),4278,36,101,960300,1400000US36101960300,36101960300,9603,Census Tract 9603,NY,Steuben County,New York,CT,145246643,18357
137,RENSSELAER,739168,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #19865,396,2ND AVENUE,,,TROY,NY,12182,0,POINT (607972.0008524267 4735864.033653786),2932,36,083,040200,1400000US36083040200,36083040200,402,Census Tract 402,NY,Rensselaer County,New York,CT,1239425,154820
138,ALBANY,739167,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #19911,805,HELDERBERG TRAIL,,,EAST BERNE,NY,12059,0,POINT (576390.2764881552 4718367.294446914),2286,36,001,014801,1400000US36001014801,36001014801,148.01,Census Tract 148.01,NY,Albany County,New York,CT,165837030,1822037
139,SCHUYLER,739166,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #19976,391,STATE ROUTE 414,,,BEAVER DAMS,NY,14812,0,POINT (338512.4325344546 4679561.862569791),1841,36,015,010200,1400000US36015010200,36015010200,102,Census Tract 102,NY,Chemung County,New York,CT,197657258,440430
140,ULSTER,739165,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #20389,1162,BROADWAY,,,ESOPUS,NY,12429,0,POINT (585814.0208989781 4630980.024095763),4457,36,111,952600,1400000US36111952600,36111952600,9526,Census Tract 9526,NY,Ulster County,New York,CT,91460503,10295467
141,ERIE,738953,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #21065,1971,COLVIN BLVD,,,TONAWANDA,NY,14150,4000,POINT (185956.1850457859 4767085.604594697),1364,36,029,007902,1400000US36029007902,36029007902,79.02,Census Tract 79.02,NY,Erie County,New York,CT,3481158,0
142,HERKIMER,738952,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #20834,166,SOUTH ST,,,WEST WINFIELD,NY,13491,0,POINT (484305.0694722725 4747913.365194889),3329,36,043,010100,1400000US36043010100,36043010100,101,Census Tract 101,NY,Herkimer County,New York,CT,328295038,1093782
143,HERKIMER,738951,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19944,2102,STATE RT 5,,,UTICA,NY,13502,0,POINT (486793.6408181203 4772342.915454432),2340,36,043,011302,1400000US36043011302,36043011302,113.02,Census Tract 113.02,NY,Herkimer County,New York,CT,103273348,927026
144,CHENANGO,738725,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19913,109,STATE RT 12,,,CHENANGO FORKS,NY,13746,9700,POINT (431031.8791996134 4677441.222214681),2263,36,017,971000,1400000US36017971000,36017971000,9710,Census Tract 9710,NY,Chenango County,New York,CT,153140704,1172476
145,DELAWARE,738724,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19989,2232,NYS RT 206,,,MASONVILLE,NY,13804,7263,POINT (469098.2613375686 4676711.764957405),4783,36,025,970502,1400000US36025970502,36025970502,9705.02,Census Tract 9705.02,NY,Delaware County,New York,CT,213934736,4237929
146,SCHENECTADY,738700,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #8749,2001,BROADWAY,,,SCHENECTADY,NY,12306,5000,POINT (584666.9839668262 4738915.09477192),2248,36,093,021200,1400000US36093021200,36093021200,212,Census Tract 212,NY,Schenectady County,New York,CT,1165672,0
147,WARREN,738513,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19808,1858,RTE 9,,,LAKE GEORGE,NY,12845,0,POINT (604976.2009281834 4805178.970813486),4242,36,113,072001,1400000US36113072001,36113072001,720.01,Census Tract 720.01,NY,Warren County,New York,CT,19649381,3045776
148,ONONDAGA,738512,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19518,7344,RTE 20,,,POMPEY,NY,13138,9346,POINT (417218.8520373573 4749942.079226432),2588,36,067,015701,1400000US36067015701,36067015701,157.01,Census Tract 157.01,NY,Onondaga County,New York,CT,86618651,219762
149,ULSTER,738470,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #17899,3592,RT 9W,,,HIGHLAND,NY,12528,9200,POINT (586173.4351955386 4618381.711413046),658,36,111,953600,1400000US36111953600,36111953600,9536,Census Tract 9536,NY,Ulster County,New York,CT,12137977,1009337
150,CHENANGO,738117,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19842,1615,STATE HWY 8,,,MOUNT UPTON,NY,13809,9160,POINT (468648.0497739313 4696434.705913467),2262,36,017,970602,1400000US36017970602,36017970602,9706.02,Census Tract 9706.02,NY,Chenango County,New York,CT,158105863,1147063
151,SARATOGA,737245,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19431,1800,NYS RT 29,,,GALWAY,NY,12074,9100,POINT (577356.4352863514 4767337.786812572),248,36,091,061500,1400000US36091061500,36091061500,615,Census Tract 615,NY,Saratoga County,New York,CT,113494742,3066692
152,ST. LAWRENCE,736973,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19679,109,NYS RT 3,,,HARRISVILLE,NY,13648,0,POINT (475242.2090196962 4890236.310050839),2327,36,089,492600,1400000US36089492600,36089492600,4926,Census Tract 4926,NY,St. Lawrence County,New York,CT,648542293,9797124
153,CHAUTAUQUA,736375,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19335,5360,ROUUTE 474,,,ASHVILLE,NY,14710,91609,POINT (135161.5753510129 4668237.320872237),3768,36,013,036801,1400000US36013036801,36013036801,368.01,Census Tract 368.01,NY,Chautauqua County,New York,CT,71124528,7672519
154,NIAGARA,736208,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19579,1895,QUAKER RD,,,BARKER,NY,14012,8000,POINT (211846.2705923329 4802828.570745336),5310,36,063,024102,1400000US36063024102,36063024102,241.02,Census Tract 241.02,NY,Niagara County,New York,CT,96109920,3325140
155,BROOME,736205,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19634,16,PINE ST,,,DEPOSIT,NY,13754,7500,POINT (465427.3919658364 4656776.455803801),4883,36,025,970501,1400000US36025970501,36025970501,9705.01,Census Tract 9705.01,NY,Delaware County,New York,CT,292215280,16595916
156,TIOGA,736200,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #19746,97,OWEGO RD,,,CANDOR,NY,13743,0,POINT (389924.6003679238 4676462.902904136),3380,36,107,020200,1400000US36107020200,36107020200,202,Census Tract 202,NY,Tioga County,New York,CT,246029924,305736
157,DELAWARE,735996,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19338,550,W MAIN ST,,,HANCOCK,NY,13783,8777,POINT (475761.6562510377 4645000.365759517),2272,36,025,971400,1400000US36025971400,36025971400,9714,Census Tract 9714,NY,Delaware County,New York,CT,411781802,7121717
158,CHENANGO,735106,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #18530,311,MAIN ST,,,AFTON,NY,13730,9217,POINT (457324.9904631318 4675955.845462923),5052,36,017,970901,1400000US36017970901,36017970901,9709.01,Census Tract 9709.01,NY,Chenango County,New York,CT,112996897,1843180
159,WAYNE,735105,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #18565,2080,WALWORTH-PENFIELD RD,,,WALWORTH,NY,14568,0,POINT (314601.3125679522 4778670.737483907),4243,36,117,020201,1400000US36117020201,36117020201,202.01,Census Tract 202.01,NY,Wayne County,New York,CT,49582986,95141
160,CATTARAUGUS,735100,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #18976,1511,E STATE ST,,,OLEAN,NY,14760,9160,POINT (218566.0374290654 4663494.996930802),798,36,009,961800,1400000US36009961800,36009961800,9618,Census Tract 9618,NY,Cattaraugus County,New York,CT,5925686,379709
161,GENESEE,735099,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #19400,2666,W MAIN ST,,,BATAVIA,NY,14036,3200,POINT (230598.6154558547 4765676.194611757),4799,36,037,950402,1400000US36037950402,36037950402,9504.02,Census Tract 9504.02,NY,Genesee County,New York,CT,60485391,518265
162,WASHINGTON,735097,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #18239,32,S MAIN ST,,,SALEM,NY,12865,3500,POINT (635600.9597875481 4780264.486803447),2261,36,115,090000,1400000US36115090000,36115090000,900,Census Tract 900,NY,Washington County,New York,CT,135616682,149107
163,ERIE,735095,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #18657,2737,SOUTHWESTERN BLVD,,,ORCHARD PARK,NY,14127,3000,POINT (195468.2132471211 4746555.771324011),3584,36,029,013702,1400000US36029013702,36029013702,137.02,Census Tract 137.02,NY,Erie County,New York,CT,18369136,0
164,STEUBEN,735094,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #18917,3851,STATE RT 417,,,JASPER,NY,14855,0,POINT (293260.0795997657 4666255.81783767),2670,36,101,962000,1400000US36101962000,36101962000,9620,Census Tract 9620,NY,Steuben County,New York,CT,601496576,673071
165,CHAUTAUQUA,735092,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #18952,2864,ROUTE 426,,,FINDLEY LAKE,NY,14736,7263,POINT (108298.8228557553 4674280.065143509),3544,36,013,036600,1400000US36013036600,36013036600,366,Census Tract 366,NY,Chautauqua County,New York,CT,219138951,6916410
166,TIOGA,734633,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #18509,7146,STATE ROUTE 434,,,APALACHIN,NY,13732,0,POINT (404882.6593989672 4657994.331072978),4836,36,107,020401,1400000US36107020401,36107020401,204.01,Census Tract 204.01,NY,Tioga County,New York,CT,121903491,1641263
167,WYOMING,734632,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #18900,2480,SR 20A,,,VARYSBURG,NY,14167,7512,POINT (228871.8422537589 4739635.240816304),4709,36,121,970400,1400000US36121970400,36121970400,9704,Census Tract 9704,NY,Wyoming County,New York,CT,214732557,277124
168,TIOGA,734631,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #19035,12343,STATE ROUTE 38,,,BERKSHIRE,NY,13736,0,POINT (402136.3649540478 4683226.738541678),4014,36,107,020101,1400000US36107020101,36107020101,201.01,Census Tract 201.01,NY,Tioga County,New York,CT,177346057,75268
169,ONEIDA,734527,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #16137,8420,STATE ROUTE 69,,,ORISKANY,NY,13424,0,POINT (472997.3530491276 4778526.627532831),3366,36,065,026100,1400000US36065026100,36065026100,261,Census Tract 261,NY,Oneida County,New York,CT,31810303,0
170,GREENE,734526,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #16748,9718,ROUTE 9W,,,ATHENS,NY,12015,8000,POINT (594560.6609163779 4682598.898688601),2322,36,039,080900,1400000US36039080900,36039080900,809,Census Tract 809,NY,Greene County,New York,CT,67977451,6792137
171,DELAWARE,734524,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #18914,11160,STATE HIGHWAY 23,,,DAVENPORT CENTER,NY,13751,7220,POINT (506345.3350554911 4699022.605905661),938,36,025,970102,1400000US36025970102,36025970102,9701.02,Census Tract 9701.02,NY,Delaware County,New York,CT,133548339,904696
172,CHENANGO,734523,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #19410,72,S MAIN STREET,,,EARLVILLE,NY,13332,9160,POINT (455556.586510322 4731217.960531949),3793,36,017,970101,1400000US36017970101,36017970101,9701.01,Census Tract 9701.01,NY,Chenango County,New York,CT,136130047,222452
173,SULLIVAN,734522,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #18717,7899,STATE ROUTE 55,,,NEVERSINK,NY,12765,7542,POINT (534555.7633866777 4634079.654092116),773,36,105,950100,1400000US36105950100,36105950100,9501,Census Tract 9501,NY,Sullivan County,New York,CT,214381821,9041006
